compound_id,maxestateindex,minestateindex,maxabsestateindex,minabsestateindex,qed,molwt,heavyatommolwt,exactmolwt,numvalenceelectrons,numradicalelectrons,maxpartialcharge,minpartialcharge,maxabspartialcharge,minabspartialcharge,fpdensitymorgan1,fpdensitymorgan2,fpdensitymorgan3,bcut2d_mwhi,bcut2d_mwlow,bcut2d_chghi,bcut2d_chglo,bcut2d_logphi,bcut2d_logplow,bcut2d_mrhi,bcut2d_mrlow,balabanj,bertzct,chi0,chi0n,chi0v,chi1,chi1n,chi1v,chi2n,chi2v,chi3n,chi3v,chi4n,chi4v,hallkieralpha,ipc,kappa1,kappa2,kappa3,labuteasa,peoe_vsa1,peoe_vsa10,peoe_vsa11,peoe_vsa12,peoe_vsa13,peoe_vsa14,peoe_vsa2,peoe_vsa3,peoe_vsa4,peoe_vsa5,peoe_vsa6,peoe_vsa7,peoe_vsa8,peoe_vsa9,smr_vsa1,smr_vsa10,smr_vsa2,smr_vsa3,smr_vsa4,smr_vsa5,smr_vsa6,smr_vsa7,smr_vsa8,smr_vsa9,slogp_vsa1,slogp_vsa10,slogp_vsa11,slogp_vsa12,slogp_vsa2,slogp_vsa3,slogp_vsa4,slogp_vsa5,slogp_vsa6,slogp_vsa7,slogp_vsa8,slogp_vsa9,tpsa,estate_vsa1,estate_vsa10,estate_vsa11,estate_vsa2,estate_vsa3,estate_vsa4,estate_vsa5,estate_vsa6,estate_vsa7,estate_vsa8,estate_vsa9,vsa_estate1,vsa_estate10,vsa_estate2,vsa_estate3,vsa_estate4,vsa_estate5,vsa_estate6,vsa_estate7,vsa_estate8,vsa_estate9,fractioncsp3,heavyatomcount,nhohcount,nocount,numaliphaticcarbocycles,numaliphaticheterocycles,numaliphaticrings,numaromaticcarbocycles,numaromaticheterocycles,numaromaticrings,numhacceptors,numhdonors,numheteroatoms,numrotatablebonds,numsaturatedcarbocycles,numsaturatedheterocycles,numsaturatedrings,ringcount,mollogp,molmr,fr_al_coo,fr_al_oh,fr_al_oh_notert,fr_arn,fr_ar_coo,fr_ar_n,fr_ar_nh,fr_ar_oh,fr_coo,fr_coo2,fr_c_o,fr_c_o_nocoo,fr_c_s,fr_hoccn,fr_imine,fr_nh0,fr_nh1,fr_nh2,fr_n_o,fr_ndealkylation1,fr_ndealkylation2,fr_nhpyrrole,fr_sh,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noorthohbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatn,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
enamine-Z2394565290,14.282048107683028,-0.49112103174603106,14.282048107683028,0.18056673595364114,0.7192146090758031,396.4260000000001,375.25800000000015,396.17100213200007,150.0,0.0,0.2786120908901097,-0.3362311621157107,0.3362311621157107,0.2786120908901097,1.3103448275862069,2.103448275862069,2.8275862068965516,19.142214600715057,10.124826514411987,2.328328448930237,-2.349979754458348,2.218714024105384,-2.502573943010393,5.9210903940808945,0.061084845253189406,1.7655240312879048,1122.1543692955922,20.543241116511002,16.170651528513396,16.170651528513396,13.969234250586762,9.318973422184438,9.318973422184438,6.9766061267981,6.9766061267981,5.051426431715213,5.051426431715213,3.5752309124298844,3.5752309124298844,-3.3299999999999996,5186414.671326768,19.00679023622427,7.591373851977636,3.444484222919338,166.14913154114637,14.783797982648164,23.370852442877343,5.693927994848461,5.428790391900541,5.907179729351506,0.0,9.589074368143644,14.056196503767213,5.098681808301038,0.0,12.13273413692322,19.056471336613843,50.83592340695114,0.0,9.184952231746642,5.907179729351506,0.0,29.548261247041594,7.04767198267719,12.965578028838586,19.634269217737724,75.97833139024932,0.0,5.687386274683562,10.745578995906872,4.39041504767482,0.0,0.0,49.7729215901245,7.04767198267719,12.740958040736519,28.04863850091663,47.52005966960603,0.0,5.687386274683562,0.0,85.05000000000001,17.15319096229794,13.979489415818463,0.0,17.423155098679985,31.15260171058611,0.0,16.814537072068404,36.21959170753901,17.811615202081622,15.399448933254577,0.0,17.42102176271233,0.0,31.86350532766162,7.496090366880861,-0.10203829680020027,-0.26399292845135036,7.081141911105837,3.4759663060204185,3.1722668423047207,1.8560387085657648,0.3,29.0,1.0,8.0,0.0,1.0,1.0,1.0,2.0,3.0,7.0,1.0,9.0,3.0,0.0,1.0,1.0,4.0,1.2002199999999998,104.38420000000002,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enamine-Z4047547759,14.029238231213565,-1.2447730064247922,14.029238231213565,0.037186476442428784,0.7938422009975676,364.3730000000002,343.2050000000001,364.143449992,140.0,0.0,0.3337913823140161,-0.4960501315805518,0.4960501315805518,0.3337913823140161,1.4230769230769231,2.230769230769231,2.8846153846153846,19.142192016490565,9.918519150623773,2.433672301639098,-2.346132300892396,2.288189967395496,-2.5969134821515136,6.016457899721849,-0.15612888978467257,1.9134531631419234,826.340939030275,18.733840039752497,14.68679063883016,14.68679063883016,12.503167623824709,8.431999945766322,8.431999945766322,6.134174071061646,6.134174071061646,4.427210030505485,4.427210030505485,3.118632590305001,3.118632590305001,-2.6099999999999994,937232.475315351,18.18917524506629,7.327650253527848,3.2400255819180455,149.34489553782578,24.511355986353685,17.26066066917826,5.538925252383345,0.0,5.907179729351506,5.969305287951849,4.794537184071822,9.184952231746642,0.0,0.0,0.0,37.96448165092747,11.993106178977714,25.84026218791963,28.19007827721861,22.779409949384416,0.0,10.30076712495354,0.0,25.304305697925987,26.93044343481629,29.710250041279185,0.0,5.749511833283905,10.05365155780638,4.39041504767482,5.749511833283905,0.0,49.32983222545019,14.268263091671919,5.817220841045895,30.253845624462926,18.19910120538483,0.0,10.902924932081056,0.0,89.64999999999999,23.232631110732594,13.979489415818463,0.0,24.42439264149056,30.58426125811364,0.0,25.30889874666236,6.923737199690624,0.0,10.30076712495354,14.210588861400147,29.742911295754908,0.0,27.90093929355744,3.165131382800034,-0.9556750230956581,-1.131583589971035,4.241888141837186,1.0314791736508908,2.4547728513403118,1.4668031407925888,0.4444444444444444,26.0,2.0,7.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,8.0,5.0,0.0,1.0,1.0,3.0,2.1577,91.69190000000003,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enamine-Z2279040656,13.52102206160242,-3.494968820861677,13.52102206160242,0.115962852733686,0.8122026630547394,372.49000000000024,348.2980000000001,372.150763628,138.0,0.0,0.24287289424855707,-0.3814066827967309,0.3814066827967309,0.24287289424855707,1.1538461538461537,2.0,2.8461538461538463,32.233427810088855,9.70549395271347,2.56900647784594,-2.3727329069941576,2.5460663338943,-2.378980301847153,7.887822168588193,0.0001907808606225653,1.5435316672643196,936.9767662974165,17.77781011412252,14.80307675586476,15.619573336792486,12.60092018973903,9.546155170460846,10.986218499261485,7.987661796853806,9.878216397726208,6.77631735010337,8.643316505245519,5.463940458380707,7.286527915760272,-1.5,1921602.168815022,16.657586949830716,6.007764171190506,2.42424683876231,153.96374022207902,4.736862953800049,0.0,0.0,10.023291153407584,0.0,0.0,4.9839785209472085,8.417796984328938,4.305215991296234,0.0,12.487188691387619,61.281651281108665,37.383428950164244,10.412184193134037,13.154659938128987,20.92621608548864,0.0,9.289194512243443,11.332896515558172,43.04143241929578,19.75852033493841,36.52867891392113,0.0,0.0,0.0,0.0,0.0,0.0,43.507352660658746,14.760154107207633,11.332896515558172,32.10410811463005,41.4241623894389,0.0,10.902924932081056,0.0,59.5,10.023291153407584,8.417796984328938,0.0,11.45683129854474,17.358145927591742,56.220796975736945,0.0,18.329577708536295,22.504317196681065,4.9839785209472085,4.736862953800049,34.45240207637342,0.0,4.697123740323596,0.8717810426639794,0.9423650848526844,0.48916488200218367,9.221859792719506,6.976416367938804,2.177189167320841,-3.494968820861677,0.55,26.0,0.0,5.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,0.0,6.0,2.0,1.0,2.0,3.0,5.0,3.204600000000002,99.24980000000005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emolecules-25233264,13.537971104168552,-3.828307222204002,13.537971104168552,0.06817265670169692,0.30614192910054816,607.1530000000001,569.8570000000002,606.2147590040901,222.0,0.0,0.32190451899089834,-0.4967573988159584,0.4967573988159584,0.32190451899089834,1.170731707317073,1.951219512195122,2.682926829268293,35.495692873226254,10.217939433654799,2.2659828116834855,-2.280947222344697,2.217063667928954,-3.1429906930209706,7.900412894408053,-0.9069273959664605,1.5909070281073583,1410.45901098418,29.244065440373394,23.344563527328255,24.916989054274435,19.78435672568156,13.406371001291328,15.436600700620712,9.761589847505174,12.081344886449214,6.840776504781638,8.671383848472816,4.654242144837752,6.349649646160276,-3.159999999999999,1443987156.684783,30.7906533223463,14.646959644737802,8.664495228198273,245.42313967505532,33.89429657489879,18.839024645109056,0.0,14.993689618238209,0.0,6.031114512338072,0.0,18.19631268934797,0.0,0.0,29.800041095617345,35.89528683400505,24.364573535614998,64.20833782576234,32.32283276065138,33.15669381367165,0.0,14.450987899589041,0.0,23.998802900392647,65.53605520375045,71.00779291959275,0.0,5.749511833283905,14.953561288656857,10.481923458755384,5.749511833283905,11.600939890232516,89.11916599600015,38.15334546258954,0.0,11.257379486545457,59.88421660112666,5.022633313741326,0.0,0.0,116.42999999999999,9.837253136417502,13.212334168400758,0.0,36.636799377243634,47.47543124319266,19.634269217737724,18.206550843741088,65.10774346761225,0.0,10.30076712495354,25.811528751632665,44.69259729329181,6.122613190331075,20.820945529935827,3.3597929803928253,1.7438509222871856,0.33089142440373664,13.556889376429568,1.523191347526665,4.952273822467882,-0.7419347759554722,0.42857142857142855,41.0,2.0,11.0,0.0,1.0,1.0,2.0,1.0,3.0,8.0,2.0,13.0,13.0,0.0,1.0,1.0,4.0,2.1146000000000025,155.25019999999972,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
emolecules-313177428,15.061400654594605,-0.7167448297197023,15.061400654594605,0.05521650512939513,0.1199646194160765,803.0059999999997,740.51,802.4404461839999,316.0,0.0,0.3289648203235242,-0.4928699787180332,0.4928699787180332,0.3289648203235242,0.7241379310344828,1.4310344827586208,2.1206896551724137,16.548820251659063,9.752296889655934,2.4122978658326506,-2.395146141668011,2.4504967929789885,-2.51018756083695,5.893910812389912,-0.1626806521755882,1.2591515626190979,1764.7096114085607,40.856585136566224,35.00327887527497,35.00327887527497,28.362768201097353,20.9154852144502,20.9154852144502,15.406150265121621,15.406150265121621,11.902805708418363,11.902805708418363,8.752091606402457,8.752091606402457,-4.68,9853380590853.893,42.91316838557808,21.35962536308948,10.677249869980717,343.49755065069166,42.794813361250874,24.502201014693085,22.99804733313562,11.65669156263541,0.0,5.969305287951849,9.694446914922299,4.794537184071822,0.0,0.0,37.46156607416286,103.95221429250414,26.1790256236503,54.680657681574885,47.483977998544034,11.876485017303356,0.0,9.799819461700956,5.917906046161393,82.27192949231777,81.54865922357672,71.28765809124549,0.0,34.49707099970343,28.421177722800294,0.0,34.49707099970343,0.0,109.26680453172901,25.48362189866975,5.917906046161393,86.49962151533478,54.59730361615449,0.0,0.0,0.0,114.46000000000002,24.033018551009505,4.794537184071822,4.794537184071822,11.8250857755129,66.91117423890695,94.48413898233665,0.0,40.448897437238145,54.59730361615449,4.899909730850478,37.89490363040039,46.40706439888061,0.0,33.77759732079877,0.0,2.664786389532233,2.6821342000213733,16.761611111414865,7.821529174671325,5.068028433423899,7.983915637923591,0.5652173913043478,58.0,0.0,12.0,1.0,2.0,3.0,3.0,0.0,3.0,11.0,0.0,12.0,18.0,1.0,2.0,3.0,6.0,7.402900000000009,220.66199999999924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enamine-Z2594007669,12.70011857520786,0.28750026245065996,12.70011857520786,0.28750026245065996,0.9283331486629358,336.47900000000016,308.25500000000005,336.220163516,132.0,0.0,0.2264895023383443,-0.34239508793581336,0.34239508793581336,0.2264895023383443,1.0,1.8,2.56,16.152659637617877,9.799777707859558,2.2863458910737737,-2.3750100988163556,2.2927309053930243,-2.4307297967296604,5.850599804141359,-0.13167442471687776,1.333487795775085,727.6395686844086,17.062267164498692,14.915575339349386,14.915575339349386,12.292826335683708,9.756110673479679,9.756110673479679,7.682928621245412,7.682928621245412,6.063209169599118,6.063209169599118,4.536574555392588,4.536574555392588,-1.8699999999999999,930625.2768428003,16.59050635280719,7.5691042158015795,3.871125403621303,149.9519286707882,10.216698334856808,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,42.46456947923127,66.94451131647857,13.08951281182515,6.4208216229260096,4.794537184071822,16.679628158281098,0.0,10.216698334856808,11.835812092322787,32.10410811463005,26.1790256236503,48.02802097092827,0.0,0.0,5.316788604006331,0.0,0.0,0.0,36.98611508385228,11.21535880699783,11.835812092322787,31.246737983401033,42.46456947923127,0.0,10.772448428929591,0.0,32.34,0.0,4.794537184071822,0.0,5.907179729351506,6.4208216229260096,30.488776395844933,49.545247732458776,0.0,0.0,52.68126781408809,0.0,0.0,0.0,14.785381944444444,5.988272368750676,1.127133320857167,1.9162120404426712,14.72761249991949,5.556127812745154,4.232593346173732,0.0,0.5,25.0,1.0,3.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,3.0,3.0,0.0,2.0,2.0,4.0,3.6205000000000016,102.54970000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enamine-Z17900678,12.520318009690019,-0.6281131960515423,12.520318009690019,0.04004665408986785,0.37318353545910415,491.5440000000004,462.31200000000035,491.20563564799994,188.0,0.0,0.30625285390209017,-0.4895662265360548,0.4895662265360548,0.30625285390209017,0.9722222222222222,1.6944444444444444,2.4444444444444446,16.53855683188039,10.060977791575404,2.180868742078904,-2.0924977204243573,2.3058194371319014,-2.2143272642607754,5.982541680516413,-0.14673488256226844,1.26873552275917,1279.4062760828842,25.65612529163336,20.62800950522976,20.62800950522976,17.312570843487293,11.83165191696429,11.83165191696429,8.637200281771122,8.637200281771122,5.824201956405832,5.824201956405832,3.8513317146084596,3.8513317146084596,-4.14,111257735.51492748,24.967947896824572,11.068046630042659,5.91192026774811,208.901363380076,19.527377465406477,0.0,23.889150577445665,0.0,5.907179729351506,5.969305287951849,14.383611552215466,4.681802935145185,5.098681808301038,0.0,17.696185628620217,51.10304694137992,18.405094737549014,42.39721409101589,28.59420041361561,23.347116238351855,0.0,9.780484743446223,0.0,40.0336764678499,25.137434497545087,64.97932845232218,0.0,17.186409941251373,14.790514511606428,5.687386274683562,11.49902366656781,0.0,47.26086060065327,14.325937321943691,20.771211599071872,46.571761025940766,42.46456947923127,0.0,5.687386274683562,0.0,108.75,18.483366981816275,14.383611552215466,0.0,18.624888192216957,41.65755335682266,23.36558738415503,0.0,29.804641340220638,38.112942673227685,10.415470412307368,14.210588861400147,18.005128354731077,0.0,37.086867702779344,7.275982941598944,4.4288677718733025,-0.20469540663432162,12.860090060536061,0.5944465410834261,6.286645367365496,0.0,0.3333333333333333,36.0,1.0,9.0,0.0,1.0,1.0,2.0,1.0,3.0,8.0,1.0,9.0,8.0,0.0,0.0,0.0,4.0,4.103660000000003,132.97719999999995,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emolecules-9840034,13.940804150269026,-3.8259505687846063,13.940804150269026,0.024537744704071107,0.3027474741946645,619.7400000000005,582.4440000000002,619.2352215239999,232.0,0.0,0.24208215268123856,-0.8684263899713022,0.8684263899713022,0.24208215268123856,1.0227272727272727,1.7272727272727273,2.409090909090909,32.23342704449028,9.923964631449007,2.393844299941932,-2.2914469260896206,2.3866871942492787,-3.13702017864533,7.886894754143507,-0.9076999418405307,1.4302153188845896,1616.5260815113681,31.269009466755712,24.900171532857968,25.71666811378569,21.162740929226228,14.639996137803902,16.080059466604542,11.09750189792748,13.249335841715046,7.977683128489867,9.788768877983266,5.508279167344094,6.456349401265107,-4.029999999999999,7596704240.158825,31.39655724546824,13.729632056501002,6.86120757054187,257.70310322265397,24.380072764141758,25.445906609621975,5.783244946364939,15.930470882759089,0.0,0.0,9.589074368143644,12.72301297562517,0.0,0.0,54.59730361615449,41.15153612889661,38.19747801595923,30.69584463960415,37.487034385763856,21.713715829124027,0.0,9.205125722146711,0.0,23.965027892104665,53.48813351803051,106.88539576681741,0.0,5.749511833283905,14.743300079491233,0.0,5.749511833283905,0.0,82.80148090022261,26.161573255792373,0.0,33.947554111236784,95.09052476724418,0.0,0.0,0.0,120.72000000000001,33.51472152992816,23.113398747313283,0.0,22.576795903196615,37.554430841445665,29.502936700730956,48.16063170090178,24.26546827384644,30.33183534230805,0.0,9.473725907600098,37.943960510535305,0.0,30.106505024997837,13.47344289459315,1.4396640692688316,-1.6797709169028612,21.425301592128037,0.6400373175408209,4.5928631898107515,-1.025337015305206,0.3333333333333333,44.0,1.0,10.0,0.0,2.0,2.0,3.0,0.0,3.0,7.0,1.0,11.0,12.0,0.0,1.0,1.0,5.0,1.2017000000000049,161.34099999999958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enamine-Z27017529,13.110196436293116,-3.743555629041738,13.110196436293116,0.06140846770807107,0.4613465307292674,482.60600000000017,452.36600000000027,482.19877644,180.0,0.0,0.2754606109458823,-0.45487445628658124,0.45487445628658124,0.2754606109458823,1.0588235294117647,1.7941176470588236,2.411764705882353,32.23342759583143,10.004637598701963,2.240470704972189,-2.206151347052519,2.3650873819780167,-2.302634639300042,7.8873901383802,0.10166583990000395,2.0864069282846924,1257.1622065375952,24.880104409694464,20.070598493088543,20.88709507401627,16.16627088907637,11.16872854582173,12.608791874622371,8.09011335213773,10.028048332079392,5.349221232445416,7.395107506866036,3.496927324542269,4.98169699017746,-3.3,27457564.035365965,25.325368234997047,10.751857125904827,5.601525962215963,200.61490559886462,10.05365155780638,11.443439828132366,5.749511833283905,10.023291153407584,5.907179729351506,0.0,9.77851570501903,13.401775505276145,4.305215991296234,0.0,39.827682935685715,48.234014503092446,25.4831999550513,16.779713321814413,17.949197122200808,21.61785715744265,0.0,14.273173033190652,0.0,45.43207552013229,18.406301415831482,71.80956410385134,0.0,11.49902366656781,10.05365155780638,5.687386274683562,11.49902366656781,0.0,41.687662558696246,10.023291153407584,6.923737199690624,55.22822300723816,59.88421660112666,0.0,0.0,0.0,101.49000000000001,15.930470882759089,13.212334168400758,0.0,22.194703791211193,24.58853647839296,11.126902983393991,35.02848084305868,19.913841467842857,25.122838405075452,29.132220045281993,4.736862953800049,33.817271546895455,0.0,20.832373230583684,2.7484339569160996,2.3387899312171054,0.645188273860712,10.414917877995753,4.215081513162096,10.314832631744157,-3.743555629041738,0.32,34.0,1.0,8.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,1.0,9.0,9.0,0.0,0.0,0.0,3.0,4.983520000000004,131.876,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enamine-Z1378524278,13.241132369614512,-3.6521660052910048,13.241132369614512,0.05836238662131543,0.7691791388000837,397.56200000000024,370.3460000000002,397.138150344,144.0,0.0,0.2426567247716801,-0.2281608989121388,0.2426567247716801,0.2281608989121388,0.9230769230769231,1.6153846153846154,2.3461538461538463,32.23391898082638,9.878534632432789,2.502068679022479,-2.4329704539118198,2.398671016368286,-2.577903596425876,7.93015008420585,0.28421270493381395,1.6585235120918556,899.4668527598081,18.416002794556714,15.114035520090589,16.747028681946038,12.340883488606957,9.684420634273026,12.77674918939382,8.038761027622654,12.480465454019752,6.456187657621446,10.874208399876482,4.8270292651217295,8.759360632474873,-0.9200000000000002,866124.0441467447,18.443625295249227,6.601534843429369,3.016031588576545,156.30416509047024,0.0,0.0,9.837253136417502,10.023291153407584,0.0,0.0,0.0,16.835593968657875,4.305215991296234,0.0,25.328831937239638,61.78456685787329,13.08951281182515,15.395359535482125,16.835593968657875,19.860544289825086,0.0,4.305215991296234,0.0,67.42990053506944,18.842366418571938,29.32600418877882,0.0,0.0,0.0,0.0,0.0,0.0,44.73019883174361,32.702187535677105,0.0,56.07265434387607,23.094584680902603,0.0,0.0,0.0,71.52000000000001,24.607566743042646,16.835593968657875,0.0,18.842366418571938,17.737126721369794,50.50920285217907,9.86866748299323,6.06636706846161,12.13273413692322,0.0,0.0,52.52184214356337,0.0,0.3225994425547998,0.0,2.3838040292639864,-0.05836238662131543,5.467316980032754,8.147580546649586,0.1927111678004536,-6.894158589910304,0.6842105263157895,26.0,0.0,5.0,2.0,1.0,3.0,1.0,0.0,1.0,4.0,0.0,7.0,2.0,1.0,1.0,2.0,4.0,2.687400000000001,101.44560000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
