SMILES,docking_score_0,docking_score_1,docking_score_2,docking_score_3,docking_score_4,docking_score_5,docking_score_6,docking_score_7,docking_score_8,docking_score_9,compound_id,activity,fusion_score_0,fusion_score_1,fusion_score_2,fusion_score_3,fusion_score_4,fusion_score_5,fusion_score_6,fusion_score_7,fusion_score_8,fusion_score_9
CCOC(=O)C1(NC(=O)c2cc3c(OC)ccc(F)c3[nH]2)CCCOC1,-6.7,-6.7,-6.6,-6.6,-6.5,-6.5,-6.4,-6.4,-6.4,-6.3,enamine-Z4047547759,0.0,5.064850807,5.099462509,4.900549412,5.130931377,5.152003765,4.932422161,4.898205757,4.926105976,5.321097851,5.103908539
CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,-7.2,-7.1,-7.0,-7.0,-6.9,-6.8,-6.8,-6.8,-6.8,-6.8,world_drugs-ZINC000003977978,0.0,5.325837135,5.134850502,5.231353283,5.323315144,5.290668964,5.238530636,5.232405663,5.211712837,5.165891647,5.148803234
C[NH+](CC(=O)N1CC[NH+](CC(=O)Nc2ccc(F)cc2)CC1)Cc1ccc(N2CCOCC2)cc1,-7.3,-7.3,-7.3,-7.2,-7.2,-7.1,-7.1,-7.1,-7.1,-7.1,emolecules-13474930,0.0,5.197305202,5.203897953,5.379804134,4.983260632,5.393579483,5.215444088,5.187237263,5.239014626,5.178962231,4.826901436
C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,-7.6,-7.5,-7.3,-7.2,-7.0,-7.0,-6.9,-6.9,-6.8,-6.8,world_drugs-ZINC000004474443,0.0,5.082553387,4.844438076,4.977227211,5.020423412,5.130351543,5.041463852,5.057928562,5.119773388,4.99252224,4.97439003
CCCCCCCOC(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](CCC(=O)N1CCOc2ccccc2C1)C(O)P(=O)(OCC)OCC,-6.3,-6.3,-6.2,-6.2,-6.2,-6.2,-6.1,-6.1,-6.1,-6.1,GoStar-gvk_125563802,0.0,4.430130005,4.567069054,4.499295712,4.471460819,4.599002361,4.567152023,4.504654408,4.573788643,4.461493492,4.43588686
CCOc1ccc(NC(=O)C[NH+](C)CC(=O)Nc2sc3c(c2C#N)CCC(C)C3)cc1OCC,-6.8,-6.8,-6.7,-6.7,-6.5,-6.3,-6.3,-6.2,-6.2,-6.1,emolecules-24952035,0.0,5.208838463,5.271798611,5.317471981,5.156655312,5.327755928,5.181021214,5.059206486,5.180130482,5.075099468,5.125716686
CCOc1ccccc1N(CC(=O)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)S(=O)(=O)c1ccc(Cl)cc1,-7.7,-7.6,-7.4,-7.4,-7.3,-7.2,-7.2,-7.1,-7.0,-7.0,emolecules-1751236,0.0,4.965307236,4.427873611,4.466065407,4.324575901,4.457286835,5.062141895,4.468062401,4.394117832,4.678839207,4.603905201
COc1ccc(N=C(O)[C@H](CC(C)C)Nc2ccc3c(cc2=O)[C@@H]([N-]C(C)=O)CCc2cc(OC)c(OC)c(OC)c2-3)cc1-c1nn[nH]n1,-8.1,-7.9,-7.7,-7.5,-7.5,-7.5,-7.4,-7.4,-7.2,-7.2,emolecules-104670019,0.0,4.833695889,5.268433094,4.646679401,5.204646111,5.207044601,5.306467533,5.361324787,5.174801826,5.183921814,5.205885887
CC1CC(NC(=O)C2CCc3[nH]ncc3C2)CC(c2ccccc2)C1,-7.8,-7.7,-7.5,-7.5,-7.3,-7.3,-7.2,-7.2,-7.2,-7.1,enamine-Z2335179278,0.0,5.077358723,4.856059074,4.881272793,4.74145174,4.824154377,4.789551258,4.801820755,4.898513794,4.843777657,4.888408184
Cc1nc(S(=O)(=O)N2CCN(C(=O)CCCC3(C)NC(=O)NC3=O)CC2)cn1C,-7.7,-7.7,-7.6,-7.6,-7.5,-7.5,-7.5,-7.4,-7.3,-7.3,enamine-PV-001837015915,0.0,4.367552757,4.325917721,4.391897202,4.409536362,4.357805729,4.353989601,4.367790222,4.317420959,4.273469925,4.398936749
O=C(NCCn1ccc(=O)[nH]c1=O)Nc1c(-c2ccccc2)[nH]c2ccccc12,-8.9,-8.8,-8.7,-8.7,-8.6,-8.5,-8.3,-8.3,-8.3,-8.3,enamine-PV-001951828459,0.0,4.776676178,4.971250534,5.062669754,5.250310421,5.192858696,5.177484512,5.256398201,4.902770042,4.881079674,4.77430582
O=Cc1cnc(O)nc1O,-5.1,-5.0,-4.7,-4.7,-4.6,-4.6,-4.5,-4.4,-4.4,-4.3,world_drugs-ZINC000000434270,0.0,4.752593994,4.895963669,4.945717812,5.050402164,4.94081831,4.847228527,4.937231064,4.364366531,4.319140434,5.1158638
CCn1c(=O)c(C)nc2cc(C(=O)OCC(=O)Nc3cccc(S(=O)(=O)N4CCCC4)c3)ccc21,-8.2,-8.2,-8.2,-8.1,-8.0,-7.9,-7.9,-7.8,-7.7,-7.6,emolecules-29605641,0.0,4.974775791,5.183694839,5.312884331,5.261045456,5.086502075,5.257923126,5.233939648,5.225679398,5.325845242,4.965136051
CC(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](CCC(N)=O)C(N)=O)C(C)C,-8.0,-7.9,-7.9,-7.9,-7.9,-7.6,-7.6,-7.6,-7.5,-7.5,emolecules-227979022,0.0,4.62689352,4.556129932,4.553461075,4.538883686,4.584793091,4.610470772,4.523811817,4.659948826,4.617681503,4.588873863
Cn1ccnc1C1CNCCN1C(=O)c1cc2c([nH]c1=O)CC(C)(C)CC2=O,-8.0,-7.5,-7.4,-7.4,-7.3,-7.2,-7.2,-7.2,-7.2,-7.1,enamine-Z2451869502,0.0,5.007627487,4.937990665,5.009656906,5.213853836,4.984972954,4.906398296,4.996757507,4.793004513,5.001464367,4.997537136
O=C(NCCCn1ccc(=O)[nH]c1=O)c1c[nH]nc1-c1cc2ccccc2o1,-8.2,-8.0,-7.8,-7.7,-7.7,-7.7,-7.6,-7.6,-7.6,-7.6,enamine-PV-001876765464,0.0,5.034460545,5.068629265,5.11366272,5.130417824,5.17595005,5.149878502,5.168381214,5.260947227,5.01833725,4.957063198
N#Cc1ccc(CN2CCN(C(=O)C=Cc3cn(-c4ccccc4)nc3-c3cccnc3)CC2)cc1,-8.4,-8.4,-8.4,-8.4,-7.9,-7.9,-7.8,-7.8,-7.8,-7.7,enamine-Z28887704,0.0,5.16499567,5.282620907,5.267254353,5.216655254,5.267619133,5.131578922,5.242705822,5.08691597,5.17480278,5.1278615
CS(=O)(=O)Cc1ccc(C(=O)N(CCC2=CCCCC2)c2c(N)n(Cc3ccccc3)c(=O)[nH]c2=O)cc1,-8.0,-7.8,-7.6,-7.5,-7.5,-7.5,-7.5,-7.4,-7.3,-7.3,emolecules-43839448,0.0,5.192132473,5.225588799,5.291039944,5.28850174,5.221868038,5.240073681,5.188504219,5.208136082,5.162065506,5.324511528
CCCn1c(C)cc(C=C(C#N)C(=O)OCC(=O)Nc2nnc(-c3ccccc3)o2)c1C,-7.1,-7.0,-7.0,-6.8,-6.8,-6.7,-6.7,-6.7,-6.7,-6.6,emolecules-26049510,0.0,5.304453373,5.340620518,5.165516376,5.325036526,5.286519527,5.271575451,5.27786541,5.274929523,5.250081539,5.063855648
COc1ccc(Cn2cc(C(CC(=O)NCC[NH+]3CCOCC3)c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1,-8.2,-8.2,-8.1,-8.1,-8.1,-8.0,-8.0,-7.9,-7.9,-7.9,emolecules-36398973,0.0,5.223325253,5.264854908,5.29556942,5.186770439,5.281253815,5.263258457,5.249449253,5.229050159,5.299139023,5.199644089
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,-8.6,-8.5,-8.3,-8.2,-8.1,-8.1,-8.0,-8.0,-7.9,-7.9,world_drugs-ZINC000004099009,0.0,5.51828289,5.356159687,5.32709074,5.592572212,5.393768787,5.570131302,5.56918478,5.410840511,5.531102657,5.57741642
CC1CC(OC2C(O)C(OCCc3ccc(O)c(O)c3)OC(COC3OC(C)C(O)C(O)C3O)C2OC(=O)/C=C/c2ccc(O)c(O)c2)C(O)C(O)C1O,-6.3,-6.1,-5.9,-5.9,-5.9,-5.9,-5.8,-5.8,-5.8,-5.7,emolecules-95449909,0.0,4.701786041,4.594484806,4.705424786,4.735792637,4.978541374,4.615504742,4.948848248,4.848588943,4.782903671,4.323820114
COc1ccccc1-c1nnc(SCC(=O)Nc2ccc3c(c2)OCCO3)n1-c1ccc(C)cc1,-9.0,-8.8,-8.8,-8.7,-8.6,-8.5,-8.5,-8.3,-8.3,-8.2,enamine-Z19892214,0.0,5.204610825,5.196357727,5.222728729,5.185276031,5.162062645,5.210375786,5.24140358,5.153879166,5.234426975,5.20146656
C[C@H]1CN(C(=O)C23CCC(=O)N2c2ccccc2S3)CCN1S(C)(=O)=O,-7.1,-6.9,-6.8,-6.7,-6.7,-6.6,-6.6,-6.5,-6.5,-6.5,enamine-Z2645836958,0.0,4.470856667,4.466743469,4.363302708,4.377999783,4.172744274,4.449851513,4.209955692,4.234160423,4.45949173,4.425637245
CC(C)Oc1ccccc1NC(=O)CSc1nc(-c2ccc([N+](=O)[O-])cc2)nn1CC(=O)Nc1ccccc1OC(C)C,-8.4,-8.1,-8.1,-8.1,-8.1,-8.0,-8.0,-7.9,-7.9,-7.9,emolecules-30322003,0.0,4.866956234,4.953048229,4.844073296,4.450759411,4.712091446,4.600602627,4.766044617,4.44433403,4.885028362,4.618414879
O=C(COC(=O)c1nc(-c2ccccc2)n(-c2ccccc2)n1)NC12CC3CC(CC(C3)C1)C2,-9.5,-9.5,-9.5,-9.4,-9.4,-9.4,-9.3,-9.3,-9.3,-9.2,enamine-Z25043198,0.0,5.185878277,5.184910774,5.182707787,5.166671753,5.238286972,5.196343899,5.189816952,5.218737125,5.17105484,5.188691139
CCN(CC)c1ccc(S(=O)(=O)N2CCCCC2)cc1NC(=O)c1[nH]c(C)c(C(=O)OC)c1C,-7.3,-7.3,-7.2,-7.2,-7.2,-7.1,-6.9,-6.8,-6.8,-6.8,emolecules-11762750,0.0,4.676187992,4.991719246,4.984333038,4.860858917,4.996143818,4.982681274,4.921905041,5.114830494,5.206358433,4.918282509
Cc1cnc(C(=O)N[C@H]2CCCCC/C=C\[C@@H]3C[C@@]3(C(=O)NS(=O)(=O)C3CC3)NC(=O)[C@@H]3C[C@@H](Oc4nc5ccccc5c5ccccc45)CN3C2=O)cn1,-7.1,-7.0,-6.9,-6.8,-6.8,-6.8,-6.7,-6.7,-6.7,-6.7,world_drugs-ZINC000203757351,0.0,5.366550446,5.388219357,5.29785347,5.321885586,5.462658405,5.386507511,5.576422215,5.383268833,5.59725666,5.372818947
COC(=O)CN(CC(=O)OC)c1ccc(C)cc1OCCOc1cc(C=O)ccc1N(CC(=O)OC)CC(=O)OC,-6.2,-6.1,-6.1,-6.1,-6.1,-6.0,-5.9,-5.9,-5.9,-5.9,emolecules-917949,0.0,5.600700378,5.095727444,5.300599575,5.146027088,5.352827549,5.273812294,5.676028728,5.282374859,5.337134838,5.298554897
C=CCOc1cccc(C2/C(=C(\[O-])c3ccc4c(c3)OCCO4)C(=O)C(=O)N2CCC[NH+](C)C)c1,-8.3,-8.2,-8.1,-7.9,-7.6,-7.4,-7.3,-7.3,-7.2,-7.0,emolecules-46511721,0.0,5.397899628,5.213353157,5.200904369,5.273309231,5.262599945,5.129591465,5.35372591,5.575432777,5.187429428,5.177594185
COc1cccc(OCCNC(=O)[C@@H]2CC(=O)N[C@@H](CC(C)C)C(=O)N(C)CCOc3ccccc3C(=O)N2)c1,-7.1,-7.0,-6.9,-6.9,-6.9,-6.9,-6.8,-6.8,-6.7,-6.7,emolecules-171949736,0.0,5.740261555,5.436688423,5.234614849,5.644976616,5.257336617,5.35327816,5.32311058,5.419138908,5.335539341,5.244467735
CC(C)CN1N=C(C(=O)N=S(=O)([O-])c2cnn3c2OCCC3)CCC1=O,-7.3,-7.1,-7.1,-7.1,-7.0,-6.9,-6.8,-6.8,-6.8,-6.8,enamine-Z2224674122,0.0,4.4683671,4.406225204,4.518484116,4.297600746,4.462192535,4.34818697,4.390370369,4.357370853,4.358562946,4.40795517
O=[N+]([O-])c1ccc(C2[NH+](Cc3cn(-c4ccccc4)nc3-c3cccnc3)CC[NH+]2Cc2cn(-c3ccccc3)nc2-c2cccnc2)cc1,-9.8,-9.3,-9.3,-9.3,-9.2,-9.2,-9.0,-9.0,-8.9,-8.8,emolecules-48987694,0.0,5.593806267,5.563082695,5.612265587,5.57648468,5.694114208,5.608917236,5.576534271,5.696692944,5.518442631,5.646140099
COC(=O)CC(c1ccc(OCCc2ccc3c(c2)CCO3)c(OC)c1)c1oc(C[NH+]2CCN(c3ccc(OC)cc3)CC2)cc(=O)c1O,-6.9,-6.6,-6.5,-6.4,-6.3,-6.3,-6.2,-6.1,-6.1,-6.0,emolecules-55721614,0.0,5.598280907,5.572930336,5.537205219,5.579535484,5.663208008,5.516345024,5.574302197,5.619828224,5.506402016,5.524409294
COc1cccc2c1C(=O)c1c(O)c3c(c([O-])c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,-8.5,-8.4,-7.9,-7.5,-7.4,-7.3,-7.3,-7.3,-7.2,-7.1,world_drugs-ZINC000003918087,0.0,5.479175091,5.382786751,5.32742691,5.315516472,5.391962528,5.381835938,5.498624802,5.293216705,5.335021973,5.389422417
CN(C)S(=O)(=O)CC1(O)CCN(c2cc(Cl)n[nH]c2=O)CC1,-6.3,-6.3,-6.2,-6.2,-6.2,-6.2,-6.0,-6.0,-6.0,-5.9,enamine-PV-002985619328,0.0,4.250047684,4.16857338,4.427051067,4.369077682,4.379014969,4.24101305,4.29175806,4.401209831,4.234824181,4.286904335
CCCC1CN(C(=O)OC(C)(C)C)CCN1S(=O)(=O)c1occc1C(=O)OC,-6.0,-5.8,-5.7,-5.7,-5.5,-5.4,-5.4,-5.4,-5.4,-5.3,enamine-PV-001935187722,0.0,4.443363667,4.542059422,4.412604332,4.39914465,4.414992332,4.409820557,4.45860672,4.457786083,4.413171768,4.339378357
O=S1(=O)CC(c2ccccc2)CS(=O)(=O)C1CC1S(=O)(=O)CC(c2ccccc2)CS1(=O)=O,-8.4,-7.8,-7.8,-7.7,-7.6,-7.6,-7.5,-7.5,-7.5,-7.5,emolecules-48962589,0.0,4.491038799,4.473649502,4.416268826,4.47214222,4.434464931,4.446187019,4.374069214,4.503821373,4.395913601,4.466024399
COc1ccc(Cl)c2[nH]c(C(=O)N3CC4(CCC4)CC3C(=O)N[C@H](C#N)C[C@@H]3CCNC3=O)cc12,-8.3,-7.9,-7.8,-7.4,-7.3,-7.2,-7.2,-7.0,-7.0,-7.0,GoStar-gvk_125436483,5.110924374,5.387894154,5.212502003,5.17185688,5.242387295,5.216943264,5.193949699,5.149256229,5.227329254,5.196154594,5.080544472
CC(C)C[C@H](NC(=O)OC1(Cc2cccc(Cl)c2)CCC1)C(=O)N[C@@H](CC1CC2(CCOCC2)NC1=O)C(=O)C(=O)NC1CC1,-8.1,-8.0,-7.9,-7.9,-7.8,-7.8,-7.6,-7.4,-7.3,-7.3,GoStar-gvk_125563957,5.222674694,5.601349831,4.911227703,4.931964397,4.902356625,5.298763275,4.920643806,5.416891575,5.018387794,5.0470047,5.449288368
CC(C)(C)c1ccc(-c2nnc(Sc3cnc([N+](=O)[O-])s3)o2)cc1,-7.6,-7.5,-7.4,-7.4,-7.1,-7.1,-6.7,-6.7,-6.6,-6.5,PostEra-LON-WEI-4d77710c-65,5.31583451,4.882706165,4.707035065,4.839862347,4.814566135,4.824689388,4.742936611,4.924835682,4.906737804,4.89849472,4.74356842
