compound_id,maxestateindex,minestateindex,maxabsestateindex,minabsestateindex,qed,molwt,heavyatommolwt,exactmolwt,numvalenceelectrons,numradicalelectrons,maxpartialcharge,minpartialcharge,maxabspartialcharge,minabspartialcharge,fpdensitymorgan1,fpdensitymorgan2,fpdensitymorgan3,bcut2d_mwhi,bcut2d_mwlow,bcut2d_chghi,bcut2d_chglo,bcut2d_logphi,bcut2d_logplow,bcut2d_mrhi,bcut2d_mrlow,balabanj,bertzct,chi0,chi0n,chi0v,chi1,chi1n,chi1v,chi2n,chi2v,chi3n,chi3v,chi4n,chi4v,hallkieralpha,ipc,kappa1,kappa2,kappa3,labuteasa,peoe_vsa1,peoe_vsa10,peoe_vsa11,peoe_vsa12,peoe_vsa13,peoe_vsa14,peoe_vsa2,peoe_vsa3,peoe_vsa4,peoe_vsa5,peoe_vsa6,peoe_vsa7,peoe_vsa8,peoe_vsa9,smr_vsa1,smr_vsa10,smr_vsa2,smr_vsa3,smr_vsa4,smr_vsa5,smr_vsa6,smr_vsa7,smr_vsa8,smr_vsa9,slogp_vsa1,slogp_vsa10,slogp_vsa11,slogp_vsa12,slogp_vsa2,slogp_vsa3,slogp_vsa4,slogp_vsa5,slogp_vsa6,slogp_vsa7,slogp_vsa8,slogp_vsa9,tpsa,estate_vsa1,estate_vsa10,estate_vsa11,estate_vsa2,estate_vsa3,estate_vsa4,estate_vsa5,estate_vsa6,estate_vsa7,estate_vsa8,estate_vsa9,vsa_estate1,vsa_estate10,vsa_estate2,vsa_estate3,vsa_estate4,vsa_estate5,vsa_estate6,vsa_estate7,vsa_estate8,vsa_estate9,fractioncsp3,heavyatomcount,nhohcount,nocount,numaliphaticcarbocycles,numaliphaticheterocycles,numaliphaticrings,numaromaticcarbocycles,numaromaticheterocycles,numaromaticrings,numhacceptors,numhdonors,numheteroatoms,numrotatablebonds,numsaturatedcarbocycles,numsaturatedheterocycles,numsaturatedrings,ringcount,mollogp,molmr,fr_al_coo,fr_al_oh,fr_al_oh_notert,fr_arn,fr_ar_coo,fr_ar_n,fr_ar_nh,fr_ar_oh,fr_coo,fr_coo2,fr_c_o,fr_c_o_nocoo,fr_c_s,fr_hoccn,fr_imine,fr_nh0,fr_nh1,fr_nh2,fr_n_o,fr_ndealkylation1,fr_ndealkylation2,fr_nhpyrrole,fr_sh,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noorthohbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatn,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
emolecules-95449870,13.264395318424622,-2.0349427062891987,13.264395318424622,0.007212493792719377,0.06054508115970579,754.7350000000005,708.3670000000002,754.268414632,294.0,0.0,0.330732965987426,-0.504259893074049,0.504259893074049,0.330732965987426,0.8679245283018868,1.5660377358490567,2.2264150943396226,16.73857097644318,9.81337961781179,2.533632445782998,-2.467218272280978,2.3493808452358222,-2.6396473083644687,5.869745632933857,-0.3272917136674277,1.417699486791862,1571.4242646418447,38.61179073833382,28.56673365465838,28.56673365465838,25.110119005389304,16.923329773818946,16.923329773818946,13.503530910111847,13.503530910111847,9.595076245080788,9.595076245080788,6.32920730967979,6.32920730967979,-3.6300000000000003,296242608843.66205,40.552804725067986,17.22939771797144,9.367340760720351,302.75443421515223,84.59297906604807,42.2248491374735,41.682067179554345,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,19.056471336613843,60.22794065608772,6.076020106833881,38.63546063354828,89.3875162501199,12.045325394785731,0.0,0.0,5.917906046161393,92.88218220493147,26.427527858051672,53.60112550099753,0.0,22.99804733313562,0.0,0.0,22.99804733313562,0.0,161.68543624864012,39.63653652979813,5.917906046161393,24.471461806010623,42.47422251760354,0.0,6.076020106833881,0.0,294.97999999999996,110.57417082032472,60.96633852731957,0.0,36.697060710216654,11.126902983393991,6.076020106833881,42.47422251760354,6.923737199690624,0.0,0.0,28.421177722800294,34.877343772498705,0.0,13.264395318424622,112.83547819119767,-1.1828141675209716,-3.09800612168692,7.920020429821051,-14.30652510482871,-0.39322565123877395,0.0,0.5714285714285714,53.0,11.0,18.0,1.0,2.0,3.0,2.0,0.0,2.0,18.0,11.0,18.0,13.0,1.0,2.0,3.0,5.0,-1.8873999999999984,176.97779999999975,0.0,7.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enamine-Z4251633058,13.571263174731754,-0.5453402935248179,13.571263174731754,0.044287725612130124,0.8885572611307042,374.41200000000026,351.2280000000001,374.16418543599997,144.0,0.0,0.2518973812586984,-0.38102960687556375,0.38102960687556375,0.2518973812586984,1.4814814814814814,2.3333333333333335,3.074074074074074,19.14214655069724,9.972846446331195,2.359769056963234,-2.3262406906369035,2.243564019128936,-2.471356474663906,5.826091363341223,-0.14795388819875252,1.6315617784921428,920.0730442784372,18.965890847321376,15.294670044618602,15.294670044618602,13.079718698118981,9.395773003873638,9.395773003873638,7.110541674380633,7.110541674380633,5.425209652369622,5.425209652369622,3.9963838708180157,3.9963838708180157,-2.25,2269236.989781725,18.1291088385683,7.40237683014039,3.3688227357058524,155.81092031571382,19.357614159397784,11.921187228794198,5.428790391900541,0.0,5.907179729351506,0.0,9.589074368143644,4.39041504767482,0.0,0.0,0.0,31.54366002800146,54.257552422652324,13.151638370425493,18.65867813934674,16.810104661432565,0.0,9.883888251797686,5.917906046161393,32.41410323920352,26.36540229945133,45.49702910894854,0.0,0.0,5.428790391900541,4.39041504767482,0.0,0.0,48.26043666834882,27.233841120510505,11.735126887207288,24.60193830916209,22.993638389456653,0.0,10.902924932081056,0.0,71.63,11.921187228794198,13.979489415818463,0.0,23.798632573326017,49.25260034615538,12.114749617774471,12.13273413692322,10.966276799312087,6.923737199690624,4.9839785209472085,9.473725907600098,24.725027303100553,0.0,30.866863872092047,0.31351859725371645,1.7583995828205798,-0.5056434353151513,4.155599981171216,0.810783557505238,4.208783874705141,0.0,0.5,27.0,1.0,6.0,0.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,7.0,4.0,0.0,1.0,1.0,4.0,1.9934999999999998,97.98770000000003,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
world_drugs-ZINC000001554274,8.877914490876302,0.4570254046164943,8.877914490876302,0.4570254046164943,0.6174794624332792,366.4280000000001,348.2840000000001,366.15929457600004,136.0,0.0,0.22863250465959203,-0.33963630846937165,0.33963630846937165,0.22863250465959203,0.9642857142857143,1.6785714285714286,2.3214285714285716,15.138499536695614,10.037016762873243,2.0689116061784154,-2.1385069806414583,2.261165834498297,-2.022674022097871,5.689252181479911,1.1604723224540614,1.799889479588001,1078.1013900921569,19.932510652501765,15.562357073896093,15.562357073896093,13.584049995768549,8.634992692373332,8.634992692373332,6.196774902361961,6.196774902361961,4.084129267476338,4.084129267476338,2.7977036993277933,2.7977036993277933,-4.159999999999999,2196555.559407984,18.625735509781553,8.481357421874998,4.513971839222243,163.36982087786697,10.633577208012662,5.817862777835028,0.0,5.948339280986494,0.0,0.0,0.0,4.9839785209472085,15.50776163042418,0.0,0.0,79.0784184605374,23.647636227814083,17.701894117281544,0.0,29.21699471502253,10.523783109476973,9.967957041894417,0.0,13.847474399381248,10.633577208012662,76.99123912446622,0.0,12.138442625584547,10.633577208012662,23.140974608188646,0.0,0.0,9.967957041894417,0.0,36.50970013444277,22.253805966787983,54.737433157678225,0.0,6.076020106833881,0.0,97.42,0.0,0.0,0.0,0.0,17.32965355051852,28.06512702445811,6.076020106833881,30.471964883831788,44.18216398601996,26.67075556269935,10.523783109476973,0.0,0.0,8.749376897517369,24.0444031555942,5.457165493736384,1.1215272207750564,17.01322724189288,4.927499263710095,4.020134060107351,0.0,0.09090909090909091,28.0,2.0,6.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,2.0,6.0,5.0,0.0,0.0,0.0,3.0,4.989100000000003,110.3174,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
world_drugs-ZINC000096014306,12.454682317101947,-2.304218142133907,12.454682317101947,0.7520883762454347,0.08745505641641257,776.6510000000006,732.2990000000002,776.233485668,304.0,0.0,0.3353042123008995,-0.4792427209621555,0.4792427209621555,0.3353042123008995,0.5094339622641509,0.9433962264150944,1.4339622641509433,16.756111675090505,9.936400885385662,2.570893613198898,-2.49338965634788,2.3426858521893474,-2.7037104566295405,5.743892713314223,-0.36836067912684634,1.61845808828343,1295.204486867806,39.63458105360303,27.8185132872676,27.8185132872676,24.816783678684363,16.06611892461619,16.06611892461619,12.688651160361283,12.688651160361283,8.940878418138357,8.940878418138357,6.297910973276782,6.297910973276782,-2.8000000000000007,132459398165.80156,42.93492000678388,17.770941722999233,9.191868936923882,297.6407979027125,105.0699466227015,85.33127831127554,37.368039692837456,11.814359458703011,0.0,11.938610575903699,9.589074368143644,9.589074368143644,0.0,0.0,0.0,0.0,13.847474399381248,13.213763929025836,113.61451815097615,23.75297003460671,0.0,10.633577208012662,0.0,136.54679240349424,13.213763929025836,0.0,0.0,0.0,10.633577208012662,0.0,0.0,0.0,220.94438070583394,52.33618941288763,0.0,13.847474399381248,0.0,0.0,0.0,0.0,399.71,159.66605196774555,80.45647747437576,0.0,0.0,0.0,13.847474399381248,0.0,0.0,0.0,10.633577208012662,33.15804067660034,38.018362429843776,0.0,48.169478328217494,128.73081938993423,0.0,-5.2807263721762565,-3.3759507750200717,-36.545040233853996,0.11639056638818368,0.0,0.8571428571428571,53.0,14.0,25.0,0.0,4.0,4.0,0.0,0.0,0.0,21.0,14.0,25.0,12.0,0.0,4.0,4.0,4.0,-9.276600000000013,158.1819999999999,2.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enamine-Z26394334,13.370424225245653,-3.639829692321799,13.370424225245653,0.17887782453303713,0.5241138129356289,496.6330000000005,464.3770000000003,496.21442650399996,186.0,0.0,0.2529419681325485,-0.37777781397152604,0.37777781397152604,0.2529419681325485,1.0,1.7714285714285714,2.5714285714285716,32.233427733063124,10.095368519513258,2.282664632044027,-2.3087879303561873,2.279822341100777,-2.384539927076815,7.887411638944478,0.0952124929972927,1.3772117633368908,1291.6790138451508,24.252501608810668,19.832645389888256,20.649141970815982,17.03684327154,12.339865131917591,13.779928460718232,9.108519927833424,11.046454907775088,6.872037481237478,8.766674347833884,4.936184082681398,6.480033309795829,-2.8799999999999994,151951363.34142593,23.84290838094747,10.392994783276562,5.073537719380005,205.85233808999186,19.93753980960407,0.0,0.0,10.023291153407584,5.907179729351506,0.0,4.794537184071822,8.417796984328938,4.305215991296234,0.0,24.61992282831084,49.09138463432146,55.51093680794057,23.672698896240608,17.949197122200808,32.52078208952371,0.0,14.605983116249774,0.0,30.578769967221813,50.83745568943918,59.788316034238335,0.0,0.0,10.216698334856808,5.687386274683562,0.0,0.0,69.55171718451258,21.180975730133643,0.0,35.18390503624384,53.556896526362124,0.0,10.902924932081056,0.0,94.74,10.023291153407584,13.212334168400758,0.0,10.80266320486928,57.92181907321171,41.416227567239645,0.0,22.504317196681065,24.395944776997904,21.26704392426563,4.736862953800049,33.61453801178281,0.0,18.904688502641346,4.164334908208501,3.3418332745189234,-0.26201178928361446,13.04396580659499,5.431372790490941,3.9844415207012327,-3.639829692321799,0.4230769230769231,35.0,2.0,8.0,0.0,2.0,2.0,2.0,1.0,3.0,5.0,2.0,9.0,7.0,0.0,2.0,2.0,5.0,3.151600000000002,136.41969999999995,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enamine-Z3200016643,13.160287643544352,-0.3485722552910051,13.160287643544352,0.11246454855536747,0.8790705652764279,348.4180000000002,323.2180000000001,348.18492088,136.0,0.0,0.31504357957982,-0.3812663096017269,0.3812663096017269,0.31504357957982,1.2,1.96,2.6,19.142144604193607,9.834138114816199,2.4213058455934773,-2.384242021990658,2.340840434821208,-2.579471504376731,5.750604160806555,0.04188113155014622,1.4091746035856554,615.6001493626843,17.27781011412252,14.301015478220581,14.301015478220581,12.117723500579762,9.182443568919815,9.182443568919815,7.510495633957031,7.510495633957031,5.706873774413125,5.706873774413125,4.336152482030374,4.336152482030374,-1.6600000000000001,926535.0454107862,16.789418243644093,6.920982990234534,3.796529472375445,146.81202947526506,20.10730311561276,5.817220841045895,0.0,0.0,0.0,6.031114512338072,0.0,9.184952231746642,0.0,0.0,12.13273413692322,56.22111536617628,13.213763929025836,23.78869885702791,18.65867813934674,6.031114512338072,0.0,10.633577208012662,0.0,62.313628594583975,13.213763929025836,35.646140606589334,0.0,0.0,10.633577208012662,9.184952231746642,0.0,0.0,43.03357729839181,15.894547530526108,5.817220841045895,37.667559606327046,24.26546827384644,0.0,0.0,0.0,59.59,0.0,9.184952231746642,0.0,29.533067822663575,25.738551939700148,37.667559606327046,12.13273413692322,12.13273413692322,0.0,10.633577208012662,9.473725907600098,24.455123963358787,0.0,12.61450150121777,6.3038951614596455,0.6716653937809696,-0.2437353482918332,6.488140340349486,5.712961688217562,1.2474472999076172,0.0,0.631578947368421,25.0,2.0,5.0,0.0,3.0,3.0,1.0,0.0,1.0,3.0,2.0,6.0,4.0,0.0,3.0,3.0,4.0,2.5365,90.85540000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
enamine-PV-001938074952,13.520954743008314,-4.050966080876793,13.520954743008314,0.029734504913076165,0.4648635523745753,441.50600000000037,414.2900000000003,441.15697120399994,166.0,0.0,0.32439006798836445,-0.46781520699680945,0.46781520699680945,0.32439006798836445,1.2666666666666666,1.9666666666666666,2.466666666666667,32.23338568744069,9.701592302735369,2.6591567832003573,-2.373319153014159,2.6400487000147845,-2.4957100770585305,7.887599142206032,-0.1441074220222595,1.6447799243841212,914.4125267306424,22.06011345338556,17.342211790585534,18.15870837151326,13.942343004814608,10.149649485873152,11.758814793399553,9.343532650871161,11.265053756917146,7.8756445346250095,9.851393660237472,5.935842293709863,8.360815293131795,-2.0100000000000002,4908297.92449569,21.230758737087534,6.744904558154594,2.81077383901626,174.87482351896338,10.05365155780638,11.8250857755129,0.0,15.930470882759089,0.0,12.000419800289922,19.28352128306594,13.212334168400758,4.305215991296234,0.0,13.847474399381248,30.595361384336204,18.380568498235363,25.44924838308486,32.33280867441627,33.71413562941395,0.0,14.521914326153041,16.747886984954953,51.61444254938121,25.952163959849475,0.0,0.0,0.0,5.316788604006331,4.794537184071822,0.0,0.0,79.3496128006274,29.143765659423096,16.747886984954953,39.53076089108528,0.0,0.0,0.0,0.0,130.16,50.844553280138484,27.595945720616225,0.0,36.964339034024285,12.841643245852019,22.735744886350254,0.0,0.0,13.847474399381248,5.316788604006331,4.736862953800049,32.87574742011002,0.0,50.33113932347247,2.4125101230039,-1.4187103699504497,-1.4512486481622036,-2.503143568384144,1.668379030548042,3.554907332576434,-2.88624730988074,0.7894736842105263,30.0,1.0,10.0,2.0,2.0,4.0,0.0,0.0,0.0,7.0,1.0,11.0,5.0,2.0,2.0,4.0,4.0,-0.12069999999999936,103.50850000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
enamine-Z2218809120,12.697520716249972,-3.4231395135214586,12.697520716249972,0.10236355190224256,0.4824706019962807,426.6490000000001,388.3450000000002,426.23235053618004,160.0,0.0,0.21406463179036936,-0.3307863063188495,0.3307863063188495,0.21406463179036936,0.6666666666666666,0.9259259259259259,1.1851851851851851,32.234931649841826,10.138415621891514,2.378289148578622,-2.3897120414463005,2.120520715144923,-3.185263023021903,7.895604888914148,-0.9309304323754003,1.9235707346052968,628.44504943983,20.56854962182284,17.603065478847434,19.236058640702886,12.347878322558168,9.971171148586963,13.189501763639768,8.711762523292775,12.888711805261378,6.610621645058403,10.38964253263653,4.054429784953566,7.574764203692954,-0.26000000000000006,453603.4826884819,23.02319408411301,8.624598717386403,5.418974695666192,165.12754901676047,9.799819461700956,0.0,0.0,20.046582306815168,0.0,0.0,0.0,16.835593968657875,8.610431982592468,0.0,0.0,34.11577042168851,0.0,75.94744011909009,26.63541343035883,20.046582306815168,0.0,8.610431982592468,0.0,58.28313373828034,51.78007680249825,0.0,0.0,0.0,9.799819461700956,0.0,0.0,0.0,101.39346607034044,20.046582306815168,0.0,34.11577042168851,0.0,0.0,0.0,0.0,83.64,20.046582306815168,16.835593968657875,0.0,42.09389215301143,26.1790256236503,0.0,9.799819461700956,8.610431982592468,0.0,41.79029276411687,0.0,53.88396178076373,0.0,2.674933493103449,0.0,0.0,-0.2047271038044851,0.9558237984542914,0.1474041005291009,10.211072480273558,-2.668468549319643,1.0,27.0,2.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,10.0,6.0,0.0,2.0,2.0,2.0,-2.749299999999992,106.95800000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emolecules-42763940,13.378334641302505,-3.528182454346481,13.378334641302505,0.4037527130434224,0.5577290834381736,516.7130000000005,482.4410000000003,516.2097583680901,188.0,0.0,0.24295365019708315,-0.36975239685800376,0.36975239685800376,0.24295365019708315,1.0285714285714285,1.7428571428571429,2.4285714285714284,32.233445055552316,10.156210962805483,2.312961123809428,-2.3511180149485638,2.3536727817171843,-3.1245127955552503,7.887925621415324,-0.9216245167918421,1.4050607139710591,1340.8764532345901,24.74191172926027,20.926107672566953,22.559100834422406,16.735220574297667,12.240822710956735,14.4973826206851,9.626076437963981,12.73562821473678,7.150345654826559,10.310333920549022,5.007893302537069,7.67853869918834,-2.11,90521229.95208454,24.578512829383452,9.741416597685797,4.8191076473847465,211.13622840223027,14.536682415501005,30.282528415193323,5.824404497999927,10.023291153407584,0.0,0.0,0.0,18.385754026223353,4.305215991296234,11.336785877934737,17.696185628620217,44.88821885061809,31.0561728173516,23.49547161900841,18.054569668979465,37.39456044326271,0.0,14.273173033190652,0.0,39.13518868019284,57.382212095351754,45.59100737217704,0.0,0.0,9.799819461700956,5.817862777835028,0.0,11.336785877934737,75.17327238202087,21.30491051312021,27.694948798762496,27.39190616679221,23.094584680902607,0.0,10.216620634085363,0.0,80.07000000000001,10.023291153407584,8.417796984328938,0.0,0.0,31.07450909916808,65.83382404007787,15.340508416248774,21.708368937692583,25.980208536304467,18.747384130231726,14.704819995694464,33.87842648306711,1.7198814597337946,16.35183585921256,1.1101052427143698,3.0790379474435365,1.804680694136152,5.533641779760504,0.0,14.467239654945116,-3.528182454346481,0.52,35.0,1.0,8.0,0.0,2.0,2.0,1.0,2.0,3.0,7.0,1.0,10.0,5.0,0.0,2.0,2.0,5.0,1.8509800000000012,138.9964999999999,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
world_drugs-ZINC000003955219,13.489947153523577,-3.927918185193166,13.489947153523577,0.00018282674598513182,0.36442311667248134,547.6740000000003,510.3780000000004,547.2352215239999,208.0,0.0,0.4073228324627486,-0.44327459684178944,0.44327459684178944,0.4073228324627486,1.131578947368421,1.8421052631578947,2.526315789473684,32.23342804745321,10.007410544517159,2.438432508269882,-2.3060007878923896,2.3264240609221867,-2.5138516131140993,7.887377566338987,-0.09069638365038432,1.505042399502003,1160.9535123927155,27.285881803630282,21.73241021840026,22.548906799327987,18.129067424415016,12.912287885071539,14.352351213872181,10.261608593550765,12.199543573492427,6.787103232374808,8.632965757591274,4.824486821681408,6.446029134810674,-2.6999999999999993,306514959.33644295,28.311664132961564,12.437477968274312,7.02972972972973,223.65772071845134,30.36757233740937,6.103966387748303,6.290026729335213,10.023291153407584,0.0,6.093240070938415,0.0,13.212334168400758,4.305215991296234,0.0,44.179309741689295,48.58846905755685,18.776899086508713,36.172960667601274,32.52945042464161,21.80391749902956,0.0,9.622004595302565,11.835812092322787,56.124401454730815,32.03694421801317,60.160755107851486,0.0,0.0,11.050456081168516,10.481923458755384,0.0,0.0,74.76585751623504,30.65470163773374,11.835812092322787,25.831747514004253,59.49278709167226,0.0,0.0,0.0,140.42000000000002,34.366304828990565,18.318861563241466,0.0,49.13853869643985,12.29426823919648,11.984273114623004,28.570684265142674,0.0,44.179309741689295,5.316788604006331,19.944256338562333,44.936107611628245,0.0,13.006349874895061,14.110682560635212,7.0674562608706974,-0.02312062273139448,14.5199266965516,-1.686242296442019,4.580091433119096,-3.927918185193166,0.5185185185185185,38.0,4.0,10.0,0.0,2.0,2.0,2.0,0.0,2.0,8.0,3.0,11.0,11.0,0.0,2.0,2.0,4.0,2.3753,141.5956999999999,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
