compound_id,subset
PostEra-JIN-POS-6dc588a4-13,train
PostEra-MAT-POS-fce787c2-5,train
PostEra-MAT-POS-fce787c2-1,train
PostEra-MAT-POS-e9e99895-10,train
PostEra-MAT-POS-29385cc1-4,train
PostEra-RAL-THA-2d450e86-32,train
PostEra-MAT-POS-de59a476-2,train
PostEra-MAT-POS-fce787c2-4,train
PostEra-PET-UNK-c9c1e0d8-2,train
PostEra-MAT-POS-90fd5f68-21,train
PostEra-MAT-POS-90fd5f68-1,train
PostEra-RAL-THA-2d450e86-8,train
PostEra-RAL-THA-2d450e86-10,train
PostEra-JIN-POS-6dc588a4-11,train
PostEra-RAL-THA-2d450e86-12,train
PostEra-RAL-THA-2d450e86-38,train
PostEra-PET-UNK-7fb4f80a-2,train
PostEra-MAT-POS-90fd5f68-39,train
PostEra-PET-UNK-dd44aeb6-2,train
PostEra-MAT-POS-90fd5f68-37,train
PostEra-MIC-UNK-50cce87d-2,train
PostEra-PET-UNK-b38839dc-1,train
PostEra-MAT-POS-1f3f1a6f-3,train
PostEra-RUB-POS-1325a9ea-4,train
PostEra-MAT-POS-90fd5f68-7,train
PostEra-MIC-UNK-50cce87d-3,train
PostEra-MAT-POS-90fd5f68-13,train
PostEra-MAT-POS-c0609ef7-1,train
PostEra-RAL-THA-2d450e86-9,train
PostEra-RAL-THA-2d450e86-2,train
PostEra-PET-UNK-dd44aeb6-1,train
PostEra-RAL-THA-2d450e86-14,train
PostEra-MAT-POS-fce787c2-8,train
PostEra-MAT-POS-c20a539d-4,train
PostEra-MAT-POS-e9e99895-11,train
PostEra-RAL-THA-2d450e86-37,train
PostEra-MAT-POS-90fd5f68-2,train
PostEra-PET-UNK-7fb4f80a-1,train
PostEra-PET-UNK-bb7ffe78-3,train
PostEra-MIC-UNK-50cce87d-1,train
PostEra-MAT-POS-90fd5f68-31,train
PostEra-MAT-POS-1f3f1a6f-1,train
PostEra-MAT-POS-90fd5f68-28,train
PostEra-RAL-THA-2d450e86-13,train
PostEra-RAL-THA-2d450e86-1,train
PostEra-MAT-POS-23a8a11a-1,train
PostEra-RAL-THA-2d450e86-6,train
PostEra-RAL-THA-2d450e86-11,train
PostEra-EDJ-MED-cf4b0d25-5,train
PostEra-MAT-POS-fce787c2-3,train
PostEra-PET-UNK-bb7ffe78-2,train
PostEra-PET-UNK-d899bab6-1,train
PostEra-MAT-POS-c20a539d-7,train
PostEra-MAT-POS-de59a476-4,train
PostEra-MAT-POS-90fd5f68-20,train
PostEra-RAL-THA-2d450e86-19,train
PostEra-MAT-POS-fce787c2-6,train
PostEra-RAL-THA-2d450e86-17,train
PostEra-MAT-POS-3b92565d-1,train
PostEra-ADA-UCB-6c2cb422-1,train
PostEra-EDJ-MED-00c1612e-1,train
PostEra-MAT-POS-90fd5f68-4,train
PostEra-MAT-POS-29385cc1-3,train
PostEra-PET-UNK-bb7ffe78-1,train
PostEra-MAT-POS-90fd5f68-10,train
PostEra-MAT-POS-fce787c2-11,train
PostEra-MAT-POS-281d2ee9-1,train
PostEra-ALP-POS-6479a3a9-2,train
PostEra-EDJ-MED-c5ca5386-1,train
PostEra-RAL-THA-2d450e86-31,train
PostEra-MAT-POS-90fd5f68-3,train
PostEra-MAT-POS-90fd5f68-38,train
PostEra-MAT-POS-90fd5f68-12,train
PostEra-MAT-POS-fce787c2-2,train
PostEra-MAT-POS-c20a539d-1,train
PostEra-RAL-THA-2d450e86-26,train
PostEra-RAL-THA-2d450e86-7,train
PostEra-PET-UNK-6314f867-2,train
PostEra-MAT-POS-90fd5f68-23,train
PostEra-MAT-POS-1f3f1a6f-2,train
PostEra-MAT-POS-90fd5f68-19,train
PostEra-MAT-POS-90fd5f68-22,train
PostEra-MAT-POS-f9802937-7,train
PostEra-PET-UNK-29afea89-2,train
PostEra-MAT-POS-96f51285-1,train
PostEra-MAT-POS-f9802937-3,train
PostEra-MAT-POS-e6dd326d-9,train
PostEra-ALP-POS-9c80c481-1,train
PostEra-MAT-POS-7ddaf7de-2,train
PostEra-MAT-POS-e6dd326d-13,train
PostEra-MAT-POS-11b63608-1,train
PostEra-MAT-POS-96f51285-5,train
PostEra-DAR-DIA-0587064e-10,train
PostEra-MAT-POS-96f51285-4,train
PostEra-EDJ-MED-e4b030d8-8,train
PostEra-MAT-POS-ec6d90b7-7,train
PostEra-MAT-POS-fc9ede84-1,train
PostEra-MAT-POS-45b13633-2,train
PostEra-BEN-DND-c852c98b-1,train
PostEra-EDJ-MED-37aac4bd-2,train
PostEra-ALP-UNI-3735e77e-2,train
PostEra-EDJ-MED-e4b030d8-11,train
PostEra-ALP-POS-fe871b40-11,train
PostEra-MAT-POS-932d1078-4,train
PostEra-EDJ-MED-611d11e7-7,train
PostEra-MAT-POS-993cdc78-1,train
PostEra-VLA-UCB-05e51b3f-10,train
PostEra-EDJ-MED-37aac4bd-4,train
PostEra-MAT-POS-a5ef2d74-2,train
PostEra-MAT-POS-e6dd326d-8,train
PostEra-MAT-POS-96f51285-3,train
PostEra-MAT-POS-24589f88-1,train
PostEra-ALP-POS-696356e4-1,train
PostEra-EDG-MED-10fcb19e-3,train
PostEra-MAT-POS-090737b9-1,train
PostEra-ALP-POS-869ac754-2,train
PostEra-EDG-MED-5d232de5-1,train
PostEra-EDJ-MED-d08626de-3,train
PostEra-VLA-UCB-1dbca3b4-15,train
PostEra-EDJ-MED-611d11e7-6,train
PostEra-MAT-POS-3b97339c-2,train
PostEra-MAT-POS-8e4737f4-1,train
PostEra-MAT-POS-e6dd326d-6,train
PostEra-EDJ-MED-d08626de-5,train
PostEra-EDJ-MED-e4b030d8-3,train
PostEra-MAT-POS-9db1e783-3,train
PostEra-EDJ-MED-8c98ee63-1,train
PostEra-ALP-POS-ce760d3f-1,train
PostEra-RAL-THA-58fba2bc-1,train
PostEra-MAT-POS-5d65ec79-1,train
PostEra-EDJ-MED-1b46f08e-1,train
PostEra-EDG-MED-10fcb19e-1,train
PostEra-MAT-POS-a13804f0-3,train
PostEra-MAT-POS-e6dd326d-5,train
PostEra-DAR-DIA-5ff57136-9,train
PostEra-VLA-UCB-50c39ae8-7,train
PostEra-EDG-MED-70ae9412-2,train
PostEra-EDJ-MED-611d11e7-4,train
PostEra-BEN-DND-c852c98b-5,train
PostEra-ALP-POS-869ac754-1,train
PostEra-EDJ-MED-e4b030d8-13,train
PostEra-EDG-MED-971238d3-5,train
PostEra-MAT-POS-61f37a1a-1,train
PostEra-EDG-MED-0e5afe9d-3,train
PostEra-EDJ-MED-6bf93aa8-1,train
PostEra-EDJ-MED-e4b030d8-2,train
PostEra-BEN-DND-c852c98b-4,train
PostEra-MAT-POS-932d1078-5,train
PostEra-MAT-POS-45b13633-3,train
PostEra-ALP-POS-6f6ae286-3,train
PostEra-MAT-POS-b3e365b9-1,train
PostEra-MAT-POS-ec6d90b7-4,train
PostEra-DAR-DIA-0587064e-12,train
PostEra-MAT-POS-5d65ec79-2,train
PostEra-MAT-POS-9db1e783-2,train
PostEra-MAT-POS-8a69d52e-2,train
PostEra-RAL-THA-05e671eb-10,train
PostEra-MAT-POS-f9802937-5,train
PostEra-MAT-POS-96f51285-2,train
PostEra-EDG-MED-971238d3-1,train
PostEra-MAT-POS-8a69d52e-7,train
PostEra-RAL-THA-e002e396-1,train
PostEra-MAT-POS-e6dd326d-4,train
PostEra-ALP-POS-82da25a3-1,train
CHEMBL4303312,train
CHEMBL64379,train
CHEMBL128251,train
ZINC388462,train
CHEMBL270299,train
GoStar-gvk_125547034,train
ZINC42475,train
GoStar-gvk_124981995,train
CHEMBL1201236,train
emolecules-5852998,train
ZINC8035014,train
ZINC13512456,train
PostEra-TAT-ENA-80bfd3e5-42,train
CHEMBL980,train
ZINC142824,train
CHEMBL64925,train
CHEMBL1256772,train
CHEMBL1605492,train
PostEra-DAV-CRI-3edb475e-6,train
CHEMBL170988,train
CHEMBL3184273,train
PostEra-STE-KUL-d79e3d6a-5,train
ZINC1530703,train
GoStar-gvk_124981999,train
GoStar-gvk_125547044,train
CHEMBL3183440,train
ZINC164392,train
ZINC20237,train
CHEMBL1526649,train
24322185,train
CHEMBL1200709,train
ZINC1482010,train
CHEMBL3182926,train
CHEMBL1200461,train
CHEMBL1201117,train
CHEMBL1200410,train
GoStar-gvk_125547033,train
CHEMBL2106626,train
ZINC37868487,train
GoStar-gvk_125563810,train
CHEMBL15841,train
GoStar-gvk_125547035,train
CHEMBL1483877,train
GoStar-gvk_124982002,train
CHEMBL1096979,train
CHEMBL894,train
CHEMBL3963349,train
ZINC157458,train
emolecules-299981750,train
CHEMBL105712,train
GoStar-gvk_125547036,train
CHEMBL134570,train
CHEMBL1256478,train
CHEMBL403183,train
CHEMBL1194,train
CHEMBL2107193,train
CHEMBL1698,train
CHEMBL1200586,train
ZINC7673,train
ZINC2000707,train
CHEMBL498,train
ZINC490,train
PostEra-STE-KUL-d79e3d6a-4,train
CHEMBL253811,train
ZINC538440,train
ZINC887,train
CHEMBL13790,train
ZINC449608,train
CHEMBL278172,train
ZINC2101,train
ZINC1916,train
GoStar-gvk_125391821,train
GoStar-gvk_125391578,train
GoStar-gvk_125485572,train
GoStar-gvk_125485531,train
GoStar-gvk_125485532,train
GoStar-gvk_125485533,train
GoStar-gvk_125485551,train
GoStar-gvk_125485559,train
GoStar-gvk_125485575,train
GoStar-gvk_125485554,train
GoStar-gvk_125391579,train
GoStar-gvk_125485528,train
GoStar-gvk_125485577,train
GoStar-gvk_125485581,train
GoStar-gvk_125485571,train
GoStar-gvk_125437389,train
GoStar-gvk_125392052,train
GoStar-gvk_125485579,train
GoStar-gvk_125391953,train
GoStar-gvk_125485569,train
GoStar-gvk_125392051,train
GoStar-gvk_125485529,train
GoStar-gvk_125485578,train
GoStar-gvk_125391955,train
GoStar-gvk_125391767,train
GoStar-gvk_125435606,train
GoStar-gvk_125391805,train
GoStar-gvk_125493692,train
GoStar-gvk_125485574,train
GoStar-gvk_125391849,train
GoStar-gvk_125485566,train
GoStar-gvk_125485536,train
GoStar-gvk_125485558,train
GoStar-gvk_125485550,train
GoStar-gvk_125392039,train
GoStar-gvk_124985293,train
GoStar-gvk_125485530,train
GoStar-gvk_125485552,train
GoStar-gvk_125485567,train
GoStar-gvk_125485563,train
GoStar-gvk_125391580,train
GoStar-gvk_125436385,train
GoStar-gvk_125485547,train
GoStar-gvk_125436262,train
GoStar-gvk_125485568,train
GoStar-gvk_125392105,train
GoStar-gvk_125485576,train
GoStar-gvk_124983428,train
GoStar-gvk_125436254,train
GoStar-gvk_125437405,train
GoStar-gvk_125485570,train
GoStar-gvk_125485564,train
GoStar-gvk_125485546,train
GoStar-gvk_125485553,train
GoStar-gvk_125485527,train
GoStar-gvk_125391823,train
GoStar-gvk_125391545,train
GoStar-gvk_125369314,train
GoStar-gvk_125485535,train
GoStar-gvk_125485573,train
GoStar-gvk_125485557,train
GoStar-gvk_125391941,train
GoStar-gvk_125485580,train
GoStar-gvk_125485519,train
PostEra-EDJ-MED-7889e8da-5,train
PostEra-RAL-THA-6e4c80cf-2,train
PostEra-MAT-POS-4223bc15-23,train
PostEra-MAT-POS-4223bc15-4,train
PostEra-MAT-POS-24589f88-2,train
PostEra-MAT-POS-af1eef35-2,train
PostEra-MAT-POS-5cd9ea36-14,train
PostEra-ALP-POS-6f6ae286-5,train
PostEra-MAT-POS-8293a91a-5,train
PostEra-MAT-POS-8293a91a-4,train
PostEra-RAL-THA-6e4c80cf-1,train
PostEra-MAT-POS-4223bc15-5,train
PostEra-MAT-POS-4223bc15-2,train
PostEra-PET-UNK-af70882d-1,train
PostEra-BEN-DND-f2e727cd-6,train
PostEra-MAT-POS-b4d6b7fc-1,train
PostEra-MAT-POS-dd3ad2b5-3,train
PostEra-EDJ-MED-76744c27-1,train
PostEra-MAT-POS-24589f88-3,train
PostEra-EDJ-MED-76744c27-7,train
PostEra-MAT-POS-4223bc15-25,train
PostEra-MAT-POS-2e8b2191-10,train
PostEra-MAT-POS-4223bc15-6,train
PostEra-MAT-POS-5cd9ea36-22,train
PostEra-MAT-POS-3ccb8ef6-1,train
PostEra-MAT-POS-dd3ad2b5-2,train
PostEra-MAT-POS-5cd9ea36-24,train
PostEra-BEN-DND-f2e727cd-5,train
PostEra-MAT-POS-4223bc15-24,train
PostEra-EDJ-MED-7889e8da-3,train
PostEra-EDJ-MED-76744c27-5,train
PostEra-EDJ-MED-d1555997-1,train
PostEra-MAT-POS-61f37a1a-12,train
PostEra-ALP-POS-1460fd94-1,train
PostEra-MAT-POS-5cd9ea36-21,train
PostEra-MAT-POS-4223bc15-28,train
PostEra-MAT-POS-4223bc15-1,train
PostEra-MAT-POS-5cd9ea36-17,train
PostEra-MAT-POS-64942dd0-3,train
PostEra-MAT-POS-5cd9ea36-4,train
PostEra-MAT-POS-5cd9ea36-16,train
PostEra-MAT-POS-97ec4bd1-3,train
PostEra-MAT-POS-4223bc15-18,train
PostEra-MAT-POS-dd3ad2b5-4,train
PostEra-MAT-POS-bf364d7a-6,train
PostEra-MAT-POS-5cd9ea36-15,train
PostEra-MAT-POS-4223bc15-26,train
PostEra-MAT-POS-5cd9ea36-18,train
PostEra-MAT-POS-5cd9ea36-19,train
PostEra-MAT-POS-4223bc15-33,train
PostEra-MAT-POS-5cd9ea36-23,train
PostEra-MAT-POS-4223bc15-22,train
PostEra-MAT-POS-c88128cb-1,train
PostEra-MAT-POS-dd3ad2b5-5,train
PostEra-MAT-POS-2e8b2191-11,train
PostEra-LUO-POS-edefcc0e-1,train
PostEra-EDJ-MED-0186a59b-8,train
PostEra-MAT-POS-e119ab4f-1,train
PostEra-EDJ-MED-12c4873b-4,train
PostEra-RAL-THA-a9c31980-3,train
PostEra-MIK-ENA-5d9157e9-4,train
PostEra-MAT-POS-865c3497-1,train
PostEra-EDJ-MED-e69ed63d-14,train
PostEra-RAL-THA-5e0a6f1a-1,train
PostEra-LUO-POS-74179f4f-1,train
PostEra-MAT-POS-edabd372-1,train
PostEra-EDJ-MED-e69ed63d-8,train
PostEra-ALP-POS-6f6ae286-1,train
PostEra-EDJ-MED-ce467fd5-1,train
PostEra-EDJ-MED-e69ed63d-18,train
PostEra-EDJ-MED-e69ed63d-11,train
PostEra-MAT-POS-2e8b2191-12,train
PostEra-RAL-THA-a9c31980-4,train
PostEra-EDG-MED-ee636701-1,train
PostEra-RAL-THA-176e263b-4,train
PostEra-MAT-POS-777f5926-1,train
PostEra-RAL-THA-176e263b-1,train
PostEra-MIC-UNK-91acba05-1,train
PostEra-RAL-THA-a9c31980-8,train
PostEra-MAT-POS-a54ce14d-3,train
PostEra-EDJ-MED-e69ed63d-7,train
PostEra-MAT-POS-e119ab4f-3,train
PostEra-ALP-POS-b3e0acc5-1,train
PostEra-MIC-UNK-91acba05-2,train
PostEra-EDJ-MED-015fb6b4-2,train
PostEra-EDJ-MED-d9f3798e-1,train
PostEra-EDJ-MED-827e7cb4-1,train
PostEra-ALP-POS-f1807566-1,train
PostEra-MAT-POS-a54ce14d-2,train
PostEra-MAT-POS-c7726e07-4,train
PostEra-RAL-THA-a9c31980-5,train
PostEra-MAT-POS-b4d6b7fc-2,train
PostEra-EDJ-MED-eb111c00-2,train
PostEra-MAT-POS-c7726e07-3,train
PostEra-ALP-POS-e266d783-1,train
PostEra-EDJ-MED-d165ed91-4,train
PostEra-MAT-POS-edabd372-2,train
PostEra-EDJ-MED-e69ed63d-2,train
PostEra-MAT-POS-97ec4bd1-4,train
PostEra-MAT-POS-e119ab4f-2,train
PostEra-EDJ-MED-e69ed63d-1,train
PostEra-MIK-ENA-5d9157e9-3,train
PostEra-RAL-THA-a9c31980-1,train
PostEra-EDJ-MED-e69ed63d-17,train
PostEra-EDJ-MED-e69ed63d-13,train
GoStar-gvk_125468768,train
GoStar-gvk_125468633,train
GoStar-gvk_125468635,train
GoStar-gvk_125468751,train
GoStar-gvk_125468836,train
GoStar-gvk_125468520,train
GoStar-gvk_125468664,train
GoStar-gvk_125468971,train
GoStar-gvk_125468598,train
GoStar-gvk_125468528,train
GoStar-gvk_125468570,train
GoStar-gvk_125468492,train
GoStar-gvk_125468798,train
GoStar-gvk_125468647,train
GoStar-gvk_125468970,train
GoStar-gvk_125468842,train
GoStar-gvk_125468827,train
GoStar-gvk_125468514,train
GoStar-gvk_125468517,train
GoStar-gvk_125468575,train
GoStar-gvk_125468740,train
GoStar-gvk_125468844,train
GoStar-gvk_125468660,train
GoStar-gvk_125468628,train
GoStar-gvk_125468589,train
GoStar-gvk_125468623,train
GoStar-gvk_125468940,train
GoStar-gvk_125468642,train
GoStar-gvk_125468527,train
GoStar-gvk_125468573,train
GoStar-gvk_125468523,train
GoStar-gvk_125468663,train
GoStar-gvk_125470071,train
GoStar-gvk_125468534,train
GoStar-gvk_125468726,train
GoStar-gvk_125468834,train
GoStar-gvk_125468525,train
GoStar-gvk_125468600,train
GoStar-gvk_125468939,train
GoStar-gvk_125468761,train
GoStar-gvk_125468651,train
GoStar-gvk_125468955,train
GoStar-gvk_125468649,train
GoStar-gvk_125468766,train
GoStar-gvk_125468821,train
GoStar-gvk_125468549,train
GoStar-gvk_125468763,train
GoStar-gvk_125436313,train
GoStar-gvk_125436319,train
GoStar-gvk_125436321,train
GoStar-gvk_125436124,train
GoStar-gvk_125436347,train
GoStar-gvk_125436110,train
GoStar-gvk_125436397,train
GoStar-gvk_125436303,train
GoStar-gvk_125437414,train
GoStar-gvk_125436204,train
GoStar-gvk_125436315,train
GoStar-gvk_125436331,train
GoStar-gvk_125436333,train
GoStar-gvk_125436351,train
GoStar-gvk_125436311,train
GoStar-gvk_125436550,train
GoStar-gvk_125436353,train
GoStar-gvk_125392091,train
GoStar-gvk_125436329,train
GoStar-gvk_125436339,train
GoStar-gvk_125436341,train
GoStar-gvk_125447899,train
GoStar-gvk_125436343,train
GoStar-gvk_125436218,train
GoStar-gvk_125436337,train
GoStar-gvk_125436548,train
GoStar-gvk_125392087,train
GoStar-gvk_125391935,train
GoStar-gvk_125436317,train
GoStar-gvk_125436391,train
GoStar-gvk_125436323,train
GoStar-gvk_125392204,train
GoStar-gvk_125436349,train
PostEra-MAT-POS-97ec4bd1-2,train
PostEra-MAT-POS-97ec4bd1-1,train
PostEra-MAT-POS-bf364d7a-7,train
PostEra-EDJ-MED-be9e6f63-3,train
PostEra-MAT-POS-c7726e07-7,train
