SMILES,docking_score_0,docking_score_1,docking_score_2,docking_score_3,docking_score_4,docking_score_5,docking_score_6,docking_score_7,docking_score_8,docking_score_9,compound_id,activity,fusion_score_0,fusion_score_1,fusion_score_2,fusion_score_3,fusion_score_4,fusion_score_5,fusion_score_6,fusion_score_7,fusion_score_8,fusion_score_9
COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,-6.5,-6.4,-6.4,-6.4,-6.4,-6.4,-6.4,-6.3,-6.3,-6.3,CHEMBL1200359,0.0,4.460487366,4.044235229,4.129289627,4.380528927,4.063298702,4.397693157,4.057522774,4.231696606,4.273868084,4.49982357
Cc1ccc(NC(=O)Cc2c(C)[nH]c(=O)[nH]c2=O)c(OCC2CCCO2)c1,-8.6,-8.2,-8.1,-8.1,-8.0,-7.7,-7.6,-7.6,-7.5,-7.5,PV-001826976736,0.0,5.017296791,5.020627975,5.09481144,5.083578587,5.003087997,5.041513443,4.943489552,4.957989693,5.096365929,4.967469215
CCCC(C(=O)O)c1c(C)nc2ccc(Cl)cc2c1-c1ccccc1,-6.3,-6.2,-6.1,-6.0,-5.8,-5.8,-5.7,-5.7,-5.7,-5.6,CHEMBL2180479,0.0,5.086846828,5.154779434,5.065154552,5.005481243,5.147954464,5.159864902,5.155783176,5.201807976,4.896276474,5.213481426
CS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(F)cc2)cc1,-7.8,-7.8,-7.7,-7.7,-7.7,-7.7,-7.7,-7.6,-7.6,-7.6,CHEMBL274990,0.0,4.871450424,4.774629116,5.036001682,5.049100876,4.957252026,4.898448944,4.748097897,4.817904949,4.907875061,4.971461773
CCC(C)NS(=O)(=O)c1cc([N+](=O)[O-])ccc1Oc1c(C)c(C(=O)NCC2CCCO2)nn1C(C)(C)C,-7.1,-7.1,-7.0,-7.0,-6.9,-6.9,-6.8,-6.8,-6.8,-6.8,35896398,0.0,4.394883633,4.392059326,4.645932198,4.387681484,4.481109142,4.425047398,4.384027004,4.37146616,4.439476967,4.28070116
CCOC(=O)c1[nH]c(C)c(CN(CC2CCCO2)C(=O)c2ccc(OCC)cc2)c1C,-7.2,-7.1,-7.0,-7.0,-7.0,-6.9,-6.8,-6.8,-6.7,-6.7,27177123,0.0,5.066476822,4.985470772,5.033551693,5.109928608,4.965481281,5.036682606,5.061646461,5.056869984,5.027324677,4.99478054
COc1cccc(N2CCN(C(=O)c3coc(C[NH+]4CC[NH+](CC(O)C[NH+]5CCCCC5)CC4)n3)CC2)c1,-7.9,-7.6,-7.6,-7.5,-7.5,-7.5,-7.4,-7.4,-7.3,-7.3,25392386,0.0,4.757518291,4.438877106,4.502515793,4.492245197,4.434847832,4.710140228,4.544507504,4.513651371,4.474422932,4.553280354
CC1(C)CC(NC(=O)C(=O)Nc2ccc(Br)cc2)CC(C)(C)N1,-6.3,-6.0,-6.0,-5.9,-5.8,-5.8,-5.7,-5.7,-5.7,-5.7,ZINC3178194,0.0,4.901920319,4.88264513,4.905373573,4.912961006,4.986485958,4.867557526,4.843467236,5.022339821,4.979329586,4.928170204
O=C(NCCO[N+](=O)[O-])c1cccnc1,-6.1,-5.9,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.7,-5.5,ZINC1533102,0.0,4.287822723,4.484187603,4.65841341,4.613931656,4.546773911,4.629011631,4.665913105,4.705709457,4.557672501,4.601163864
CCOc1ccc(C(C(=O)NC2CCCCC2)N(C(=O)CCCC(=O)Nc2ccccn2)c2cc(OC)ccc2OC)cc1,-7.8,-7.7,-7.4,-7.2,-7.2,-7.2,-7.1,-7.1,-7.1,-7.0,6569505,0.0,5.332118988,5.359108925,5.370146751,5.376452446,5.316591263,5.313167572,5.372524738,5.343434811,5.392645836,5.424928188
